datetime,y,client,close,price_am,price_pm
2010-07-01,17,0,0,-1,-1
2010-07-02,18,0,0,-1,-1
2010-07-03,20,0,0,-1,-1
2010-07-04,20,0,0,-1,-1
2010-07-05,14,0,0,-1,-1
2010-07-06,14,0,0,-1,-1
2010-07-07,4,0,0,-1,-1
2010-07-08,10,0,0,-1,-1
2010-07-09,12,0,0,-1,-1
2010-07-10,21,0,0,-1,-1
2010-07-11,15,0,0,-1,-1
2010-07-12,11,0,0,-1,-1
2010-07-13,8,0,0,-1,-1
2010-07-14,13,0,0,-1,-1
2010-07-15,8,0,0,-1,-1
2010-07-16,16,0,0,-1,-1
2010-07-17,23,0,0,-1,-1
2010-07-18,25,0,0,-1,-1
2010-07-19,18,0,0,-1,-1
2010-07-20,21,0,0,-1,-1
2010-07-21,9,0,0,-1,-1
2010-07-22,8,0,0,-1,-1
2010-07-23,12,0,0,-1,-1
2010-07-24,23,0,0,-1,-1
2010-07-25,18,0,0,-1,-1
2010-07-26,18,0,0,-1,-1
2010-07-27,14,0,0,-1,-1
2010-07-28,18,0,0,-1,-1
2010-07-29,19,0,0,-1,-1
2010-07-30,15,0,0,-1,-1
2010-07-31,18,0,0,-1,-1
2010-08-01,20,0,0,-1,-1
2010-08-02,17,0,0,-1,-1
2010-08-03,15,0,0,-1,-1
2010-08-04,14,0,0,-1,-1
2010-08-05,15,0,0,-1,-1
2010-08-06,17,0,0,-1,-1
2010-08-07,18,0,0,-1,-1
2010-08-08,20,0,0,-1,-1
2010-08-09,11,0,0,-1,-1
2010-08-10,13,0,0,-1,-1
2010-08-11,15,0,0,-1,-1
2010-08-12,15,0,0,-1,-1
2010-08-13,15,0,0,-1,-1
2010-08-14,18,0,0,-1,-1
2010-08-15,12,0,0,-1,-1
2010-08-16,18,0,0,-1,-1
2010-08-17,15,0,0,-1,-1
2010-08-18,0,0,0,-1,-1
2010-08-19,17,0,0,-1,-1
2010-08-20,15,0,0,-1,-1
2010-08-21,19,0,0,-1,-1
2010-08-22,18,0,0,-1,-1
2010-08-23,19,0,0,-1,-1
2010-08-24,11,0,0,-1,-1
2010-08-25,13,0,0,-1,-1
2010-08-26,20,0,0,-1,-1
2010-08-27,20,0,0,-1,-1
2010-08-28,27,0,0,-1,-1
2010-08-29,23,0,0,-1,-1
2010-08-30,24,0,0,-1,-1
2010-08-31,18,0,0,-1,-1
2010-09-01,19,0,0,-1,-1
2010-09-02,16,0,0,-1,-1
2010-09-03,13,0,0,-1,-1
2010-09-04,15,0,0,-1,-1
2010-09-05,21,0,0,-1,-1
2010-09-06,11,0,0,-1,-1
2010-09-07,19,0,0,-1,-1
2010-09-08,9,0,0,-1,-1
2010-09-09,4,0,0,-1,-1
2010-09-10,9,0,0,-1,-1
2010-09-11,13,0,0,-1,-1
2010-09-12,12,0,0,-1,-1
2010-09-13,11,0,0,-1,-1
2010-09-14,10,0,0,-1,-1
2010-09-15,14,0,0,-1,-1
2010-09-16,7,0,0,-1,-1
2010-09-17,19,0,0,-1,-1
2010-09-18,19,0,0,-1,-1
2010-09-19,13,0,0,-1,-1
2010-09-20,16,0,0,-1,-1
